Symbol,Exchange,Date,Time,CurrentVolume,LastPrice,NBB,NBO,ImbSide,ImbalanceSize, Notional Imbalance ,ImbalanceSource,ImbalanceType,ExchangeDate,ExchangeTime,MatchedSize,CurrentReferencePrice,NearIndicativePrice,FarIndicativePrice,Matched to Unmatched,Close,% move from Snashot to Close
MRK,UNEX,20191220,49:59.7,8349339,91.63,91.62,91.63,B,50384," $ 4,616,685.92 ",NYSE,C,20191220,50:00.0,3756252,91.63,0,0,0.01341337056,91.58,-0.05%
MRK,UNEX,20191220,54:59.8,8544210,91.49,91.48,91.49,B,190935," $ 17,468,643.15 ",NYSE,I,20191220,55:00.1,4248627,91.49,92.49,92,0.04494040075,91.58,0.10%
MRK,UNEX,20191126,49:59.7,5256120,86.795,86.79,86.8,B,1442588," $ 125,209,425.46 ",NYSE,C,20191126,50:00.0,3808988,86.8,0,0,0.3787326187,87.34,0.63%
MRK,UNEX,20191126,54:59.7,5950543,87.3,87.29,87.3,B,811789," $ 70,869,179.70 ",NYSE,I,20191126,55:00.2,4654071,87.3,88.5,93.41,0.1744255728,87.34,0.05%
MRK,UNEX,20190827,49:59.9,3694937,85.875,85.87,85.88,B,179376," $ 15,403,914.00 ",NYSE,C,20190827,50:00.0,729319,85.88,0,0,0.245949989,85.52,-0.41%
MRK,UNEX,20190827,55:00.6,3831479,85.68,85.73,85.7,B,16872," $ 1,445,592.96 ",NYSE,I,20190827,55:00.2,1049220,85.69,85.8,87.47,0.01608051696,85.52,-0.19%
KO,UNEX,20200626,55:00.3,14218298,43.615,43.61,43.62,B,109966," $ 4,796,167.09 ",NYSE,I,20200626,55:00.5,3154774,43.62,44.01,0,0.03485701353,43.57,-0.10%
KO,UNEX,20191220,49:59.7,12464257,55.03,55.02,55.03,B,78208," $ 4,303,786.24 ",NYSE,C,20191220,50:00.0,5204318,55.03,0,0,0.01502752138,54.97,-0.11%
KO,UNEX,20191220,54:59.8,12850007,55.045,55.04,55.05,B,114469," $ 6,300,946.11 ",NYSE,I,20191220,55:00.1,5841263,55.045,55.12,55.11,0.01959661806,54.97,-0.14%
KO,UNEX,20191126,49:59.7,6858514,53.71,53.71,53.72,B,564800," $ 30,335,408.00 ",NYSE,C,20191126,50:00.0,1436308,53.71,0,0,0.3932304213,53.9,0.35%
